category,group_value,record_count,average_treatment_cost,median_treatment_cost,average_customer_contribution,average_contribution_rate
Age group,18 to 25,305,9111.433868852459,2639.04,91.11433868852458,1.0
Age group,26 to 35,268,10495.16317164179,4900.58,157.9672067164179,1.4850746268656716
Age group,36 to 45,264,13493.485416666666,7442.57,269.86970833333334,2.0
Age group,46 to 55,284,15986.900246478874,10477.965,319.73800492957747,2.0
Age group,56 to 65,216,18795.994212962964,13429.655,553.3965388888889,2.8425925925925926
BMI group,Underweight,20,8852.2015,6759.26,145.905475,1.45
BMI group,Healthy range,222,10379.499774774775,8604.15,195.99168513513513,1.6756756756756759
BMI group,Overweight,389,11000.079305912595,8615.3,216.02020976863753,1.776349614395887
BMI group,Obese range,706,15572.042209631729,10003.654999999999,313.384997592068,1.8711048158640227
Discount eligibility,no,1063,8440.660460959549,7345.73,174.12728748824082,1.8024459078080903
Discount eligibility,yes,274,32050.23197080292,34456.35,608.0752806569343,1.813868613138686
Region,northeast,324,13406.384691358024,10057.654999999999,264.0158395061728,1.7993827160493827
Region,northwest,324,12450.840648148149,8976.98,248.68311172839506,1.8117283950617284
Region,southeast,364,14735.411538461538,9294.130000000001,290.6057706043956,1.7994505494505493
Region,southwest,325,12346.937907692307,8798.59,245.5845316923077,1.8092307692307692
Gender,female,662,12569.578897280968,9412.965,253.4581567975831,1.8187311178247734
Gender,male,675,13974.999111111112,9377.9,272.4750128888889,1.791111111111111
Children,0,573,12384.695514834206,9863.47,250.48807626527048,1.7818499127399652
Children,1,324,12731.171820987654,8483.869999999999,252.04413796296294,1.8055555555555554
Children,2,240,15073.564,9264.98,286.6333466666667,1.8166666666666669
Children,3,157,15355.318535031845,10600.55,305.42225286624205,1.8789808917197455
Children,4,25,13850.656799999999,11033.66,274.51939999999996,1.8000000000000003
Children,5,18,8786.035555555554,8589.564999999999,161.76017777777778,1.7222222222222223
